fold,val_accuracy,val_macro_f1,feature_set,n_features
1,0.4575,0.4578187943595339,original,3072
2,0.422,0.4222622174318995,original,3072
3,0.4055,0.406808418033449,original,3072
4,0.4225,0.41966159626025223,original,3072
5,0.4145,0.4114350322540864,original,3072
1,0.1505,0.0978934563696232,pca_10,1
2,0.1705,0.12052525875996797,pca_10,1
3,0.1645,0.11378784005881681,pca_10,1
4,0.168,0.09965620488632002,pca_10,1
5,0.1605,0.10702685049851894,pca_10,1
1,0.197,0.1557900940647254,pca_30,2
2,0.2045,0.19530454939637173,pca_30,2
3,0.21,0.18828127422212243,pca_30,2
4,0.1905,0.16326546661625024,pca_30,2
5,0.205,0.17167724694693945,pca_30,2
1,0.272,0.2650544864430179,pca_50,5
2,0.29,0.27036796627989307,pca_50,5
3,0.2845,0.2685305290772694,pca_50,5
4,0.282,0.2751252258833417,pca_50,5
5,0.2735,0.26159674220558155,pca_50,5
1,0.3785,0.36209357826492916,pca_70,15
2,0.3765,0.3671245785657228,pca_70,15
3,0.3835,0.3791697975637178,pca_70,15
4,0.37,0.3688744761214059,pca_70,15
5,0.369,0.3610672622037544,pca_70,15
1,0.437,0.436943892438516,pca_100,3072
2,0.445,0.4453083821341086,pca_100,3072
3,0.4215,0.4216986850471459,pca_100,3072
4,0.433,0.43555813841287405,pca_100,3072
5,0.422,0.4214993753939482,pca_100,3072
