fold,val_accuracy,val_macro_f1,config_name,n_features
1,0.3605,0.35806670303482896,compact,3072
2,0.3785,0.3769356072436544,compact,3072
3,0.4105,0.4117161099760052,compact,3072
4,0.3965,0.39982180850627963,compact,3072
5,0.365,0.3637581416594014,compact,3072
1,0.4265,0.42451641182330524,baseline,3072
2,0.434,0.4328942435691106,baseline,3072
3,0.4075,0.40060092149298515,baseline,3072
4,0.3785,0.364427667981451,baseline,3072
5,0.439,0.4362015983208309,baseline,3072
1,0.415,0.4154053775338535,deep,3072
2,0.4215,0.41615660421399686,deep,3072
3,0.4295,0.4287333809329531,deep,3072
4,0.3955,0.3930130201458453,deep,3072
5,0.4235,0.4187875024082322,deep,3072
