fold,val_accuracy,val_macro_f1,feature_set,n_features
1,0.4225,0.41349008234647117,original,3072
2,0.419,0.4128553872581513,original,3072
3,0.4335,0.4270546071292425,original,3072
4,0.42,0.4148090846877343,original,3072
5,0.402,0.3973297666110639,original,3072
1,0.114,0.11359169432424174,pca_10,1
2,0.1185,0.11816198171606165,pca_10,1
3,0.1135,0.11367652853984811,pca_10,1
4,0.106,0.10575618453336107,pca_10,1
5,0.119,0.11890804903955907,pca_10,1
1,0.155,0.15430239675280416,pca_30,2
2,0.154,0.15440266220792687,pca_30,2
3,0.163,0.16225861318121698,pca_30,2
4,0.157,0.15584938023520972,pca_30,2
5,0.15,0.14951855851643364,pca_30,2
1,0.2745,0.2699551843102397,pca_50,5
2,0.279,0.2753494082970752,pca_50,5
3,0.271,0.2665647208386289,pca_50,5
4,0.262,0.2581327246425706,pca_50,5
5,0.261,0.2586014681900201,pca_50,5
1,0.396,0.38872344690171146,pca_70,15
2,0.364,0.35872939494697675,pca_70,15
3,0.3785,0.37084889436582774,pca_70,15
4,0.3795,0.37432231705940844,pca_70,15
5,0.4105,0.40331703931879065,pca_70,15
1,0.4155,0.4105123865590536,pca_100,3072
2,0.417,0.4103489555742943,pca_100,3072
3,0.426,0.42008057265101983,pca_100,3072
4,0.419,0.4132349088795609,pca_100,3072
5,0.428,0.4216619745869166,pca_100,3072
